Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:3Ok9FYrkK6GoGdE8nQtAEp,dd77ebc3b461474daa9e9b43c4377cd5,2023-07-03T21:31:13Z,2,dwarven beats to mine to,072d0be9e43f488687579bf4a4afee3c
spotify:track:2PTxx3NKlHrjpxokyLmbKq,dd77ebc3b461474daa9e9b43c4377cd5,2023-07-03T21:31:13Z,0,this is where Mr joel gets too preachy reflective for me,072d0be9e43f488687579bf4a4afee3c
spotify:track:5RfJDCQPIAjT5B7lkrzBWS,dd77ebc3b461474daa9e9b43c4377cd5,2023-07-03T21:31:13Z,3,devious and ominous but in a goofy way,072d0be9e43f488687579bf4a4afee3c
spotify:track:5UN5FsAN5LXi0nvVKyoYW7,dd77ebc3b461474daa9e9b43c4377cd5,2023-07-03T21:31:13Z,3,Makes me wanna astro some bears but in a more heroic and purposeful way than before ,072d0be9e43f488687579bf4a4afee3c
spotify:track:70kc16EgkF11m7sp4oCKBO,dd77ebc3b461474daa9e9b43c4377cd5,2023-07-03T21:31:13Z,4,This choice is evocative in a very interesting way. Very storyful interpretation of the round prompt! love it,072d0be9e43f488687579bf4a4afee3c
spotify:track:7qGPkwuD920IbLVsIfMKPT,dd77ebc3b461474daa9e9b43c4377cd5,2023-07-03T21:31:13Z,2,,072d0be9e43f488687579bf4a4afee3c
spotify:track:04a7TQAQPkXBosRi7IovlM,dd77ebc3b461474daa9e9b43c4377cd5,2023-07-03T21:31:13Z,1,,072d0be9e43f488687579bf4a4afee3c
spotify:track:7qGPkwuD920IbLVsIfMKPT,6d7e96d013a845369bf8f206bfb7c773,2023-07-04T17:18:52Z,3,I agree this is a good place to start,072d0be9e43f488687579bf4a4afee3c
spotify:track:0s2aODxs1y7dRsMsP5egtb,6d7e96d013a845369bf8f206bfb7c773,2023-07-04T17:18:52Z,3,This album is really top 10 of all time for me ,072d0be9e43f488687579bf4a4afee3c
spotify:track:2PTxx3NKlHrjpxokyLmbKq,6d7e96d013a845369bf8f206bfb7c773,2023-07-04T17:18:52Z,1,"Okay because when I saw the round prompt ""beginning"" my brain was instantly like [Billy Joel voice]: iiiin the begiiiining so I'm glad someone else did too",072d0be9e43f488687579bf4a4afee3c
spotify:track:3Ok9FYrkK6GoGdE8nQtAEp,6d7e96d013a845369bf8f206bfb7c773,2023-07-04T17:18:52Z,2,The children yearn for the mines,072d0be9e43f488687579bf4a4afee3c
